skim_type,skim_variable,n_missing,complete_rate,numeric.mean,numeric.sd,numeric.p0,numeric.p25,numeric.p50,numeric.p75,numeric.p100,numeric.hist
numeric,id,0,1,136723,78936.82029131718,1,68362,136723,205084,273445,▇▇▇▇▇
numeric,rama_id,0,1,2.1502605642816657,1.198288765918426,1,1,2,3,6,▇▂▂▁▁
numeric,disciplina_id,0,1,10.421989796851285,8.207464958535725,1,3,9,18,38,▇▃▃▁▁
numeric,tipo_titulo_id,0,1,2.7517928651099846,0.7048082982414359,1,3,3,3,4,▁▂▁▇▁
numeric,gestion_id,0,1,1.208930497906343,0.40654488857700205,1,1,1,1,2,▇▁▁▁▂
numeric,genero_id,0,1,1.3956188630254713,0.48898350658905804,1,1,1,2,2,▇▁▁▁▅
numeric,region_id,0,1,2.8125558460872693,1.6679661376114723,1,2,3,3,7,▇▅▁▁▂
numeric,tamaño_id,341616,0.5835652507816929,3.5666372130623603,0.8311080945503484,1,3,4,4,4,▁▁▁▂▇
numeric,letra_id,341732,0.5834238451364382,8.35276419078025,5.705372118942961,1,2,10,13,20,▇▂▆▅▂
numeric,salario,341616,0.5835652507816929,99769.27818223697,101753.1780492938,0.0099999998,46327.148,76264.422,124800.75,9518290,▇▁▁▁▁
numeric,anio,0,1,2020,0.8164970785886374,2019,2019,2020,2021,2021,▇▁▇▁▇
numeric,anioegreso,0,1,2017.1389676168883,0.8022109300210328,2016,2016,2017,2018,2018,▅▁▇▁▇
numeric,anionac,1188,0.9985518111503228,1986.687338170072,7.905716332787561,1940,1984,1989,1992,1999,▁▁▁▅▇
